Close,Volume
164.490005,3214500
162.660004,3597300
162.970001,3314700
165.460007,8946000
166.080002,2408900
166.970001,3548100
168.619995,3701600
167.729996,2335800
166.990005,7074000
168.25,3330900
167.169998,2863000
166.839996,3249800
166.259995,4245700
166.990005,3065100
168.779999,3464000
168.919998,4680500
165.679993,3395900
165.339996,3758700
167.399994,3100500
168.380005,3079300
169.919998,2131000
169.649994,2571400
170.179993,2985500
169.649994,4092000
171.710007,1731400
172,2764400
170.130005,3854200
172.220001,2849700
173.339996,2295600
173.759995,2300300
173.479996,2523000
173.059998,1970600
173.259995,2916600
174.050003,2439100
172.279999,2457500
170.550003,2962400
171.119995,2661000
172.679993,3092600
170.990005,2472000
170.050003,3612600
173.080002,3593600
173.970001,4028000
173.669998,3312100
171.289993,5062900
174.399994,4518400
173.919998,5816700
170.729996,3168600
169.779999,3888400
170.240005,8235600
165.360001,4024800
164.259995,9683600
166.160004,9609200
160.669998,4314400
163.130005,3136900
164.130005,3498800
162.300003,2719300
162.380005,3868900
162.860001,2515700
162.339996,2263500
161.850006,2524300
162.070007,3148000
162.039993,3465700
160.449997,4671600
159.179993,3700800
160.5,4255400
162.669998,4138000
160.399994,3477900
160.589996,4396000
159.199997,5428900
163,4346100
164.630005,5930100
162.880005,9006400
159.809998,3878600
159.809998,5738800
156.960007,3311700
157.080002,3749600
154.279999,6064100
157.979996,4567300
156.800003,5709900
157.809998,4601000
160.770004,5193900
158.5,4540200
161.179993,3791700
159.419998,3633600
161.029999,3234400
160.479996,5917900
161.940002,4410000
160.869995,7110800
162.809998,4004600
164.830002,4701600
162.910004,2714400
163.649994,3353000
163.889999,3504400
162.190002,4358400
160.960007,2894500
160.399994,3706900
158.520004,3333100
158.199997,3626700
158.559998,4440600
155.75,3057700
156.720001,3225000
157.910004,5253600
156.960007,3678500
158.470001,5539400
154.660004,4712200
153.309998,6563600
155.479996,8320800
151.550003,4495900
153.669998,5659600
156.360001,7888100
155.869995,4834800
155.389999,6120100
152.089996,11897100
156.949997,8392800
157.139999,5756000
154.570007,4248400
155.800003,4690300
156.809998,4377500
156.440002,4182800
159.110001,4484800
158.419998,4236800
155.050003,4701800
156.070007,6146700
159.509995,4880400
162.059998,5525500
160.440002,4011900
160.050003,2829900
160.509995,3331800
162.339996,1912200
161.820007,1868100
162.240005,4043300
161.440002,4682500
158.509995,8864900
157.679993,7302400
151.929993,5131000
151.410004,6782600
153.059998,6500300
155.380005,8611700
161.070007,3989600
160.509995,4072800
162.990005,3861200
161.860001,2851000
163.270004,3013500
164.050003,3859400
164.520004,6429100
162.669998,3464100
161.539993,4168400
162.169998,2405500
161.949997,3966000
161.759995,4062300
162.149994,6618500
160.919998,4076900
160.639999,4182200
161.429993,3802200
161.889999,5410100
164.160004,4798900
164.160004,4976700
162.789993,3239500
161.919998,3377600
163.300003,3534400
163.490005,4958200
162.070007,3494800
161.460007,4067600
161.820007,4104700
162.649994,4246900
164.360001,4688200
164.399994,5818000
164.350006,3896000
163.460007,4739300
163.600006,7895300
161.869995,4989100
162.080002,6652100
162.179993,7599400
161.789993,11084800
163.229996,20949800
169.100006,23416500
182.050003,4350200
179.839996,5578600
181.75,6895800
183.800003,3924700
183.520004,3596700
185.929993,5090200
186.419998,2625400
189.360001,2984800
185.710007,2991300
189.039993,2099500
188.669998,3071500
186.910004,2283100
187.169998,3723200
189.830002,2932600
189.639999,2336300
190.059998,2493900
189.009995,4151400
192.309998,3082600
191.619995,3301800
193.110001,3318000
194,8852000
193.75,2963300
192.800003,3210800
192.960007,2561500
191.809998,2456400
191.279999,2901000
191.720001,2298500
191.539993,2764000
189.990005,2403600
190.139999,2524200
191.199997,2260200
190.679993,2865000
191.949997,1822800
191.559998,2679700
192.300003,2909400
192,1503600
192.25,2190200
192.990005,3175400
191.160004,1723600
190.410004,1940300
191.229996,2496500
190.100006,2177600
190.070007,2040100
189.360001,2420300
187.380005,2814800
187.880005,1929500
187.949997,1797000
187.339996,1858600
187.470001,2527200
186.630005,2781500
184.300003,2708600
185.970001,3847000
187.100006,3307900
189.639999,2125900
189.149994,5181100
191.669998,4207500
194,3943800
194.570007,3264100
195.779999,3242400
194.399994,3376400
195.240005,3612700
193.630005,3584200
194.089996,4853000
190.850006,4154400
